# {"index_dir": "index/v4_pileval_gpt2", "dtype": "u16", "eos": 50256, "vocab": 50257, "version": 4, "lengths": [1, 2, 3, 4, 5, 6, 8, 10, 12, 16], "buckets": [{"name": "ultra_rare", "min": 1, "max": 1}, {"name": "rare", "min": 2, "max": 5}, {"name": "low", "min": 6, "max": 20}, {"name": "mid", "min": 21, "max": 100}, {"name": "high", "min": 101, "max": 1000}, {"name": "very_high", "min": 1001}], "per_bucket": 20, "max_docs": 2000, "max_doc_len": 4000}
high 1 241 39075
very_high 1 2068 11339
very_high 1 10757 3071
very_high 1 1525937 25
very_high 1 1090 11634
very_high 1 45800 328
very_high 1 3675 9536
very_high 1 19829 756
very_high 1 11640 3848
very_high 1 1664104 329
very_high 1 4170 6130
very_high 1 1330755 351
very_high 1 4990 8602
high 1 869 26372
very_high 1 8185 9478
very_high 1 25469 2534
very_high 1 16984 3426
very_high 1 17836 2177
very_high 1 2811 19809
high 1 348 34440
high 1 240 33859
very_high 1 3250 10404
very_high 1 2394 8536
very_high 1 13545838 198
high 1 234 37822
high 1 151 40680
high 1 941 16445
high 1 520 45355
high 1 350 31066
high 1 861 18029
high 1 594 38175
high 1 244 39894
high 1 762 22623
high 1 253 43083
high 1 817 47691
high 1 161 34100
high 1 884 24073
high 1 699 32433
high 1 306 9982
high 1 953 2249
low 2 18 39075 11339
ultra_rare 2 1 11339 3071
mid 2 43 3071 25
low 2 10 25 11634
high 2 109 11634 328
mid 2 55 328 9536
mid 2 59 9536 756
rare 2 2 756 3848
very_high 2 1450 3848 329
mid 2 56 329 6130
high 2 489 6130 351
mid 2 66 351 8602
ultra_rare 2 1 8602 26372
high 2 160 26372 9478
low 2 6 9478 2534
mid 2 63 2534 3426
high 2 264 3426 2177
low 2 6 2177 19809
mid 2 34 19809 34440
rare 2 2 34440 33859
low 2 7 33859 10404
rare 2 2 10404 8536
low 2 17 8536 198
very_high 2 3709256 198 198
high 2 596 198 9060
high 2 232 9060 6634
mid 2 64 6634 8428
mid 2 29 8428 2939
high 2 243 2939 8305
mid 2 25 8305 366
very_high 2 4355 366 3844
high 2 110 3844 318
very_high 2 188108 318 262
very_high 2 43530 262 640
very_high 2 7164 640 329
mid 2 48 329 10721
low 2 9 10721 553
very_high 2 12181 553 531
low 2 13 531 1879
mid 2 64 1879 829
low 2 12 829 11634
high 2 101 756 198
mid 2 99 198 39075
low 2 16 11339 338
rare 2 4 338 37822
rare 2 4 37822 3554
very_high 2 1231 3554 11
high 2 899 11 1879
high 2 532 756 11
very_high 2 13289 11 468
high 2 514 468 1444
very_high 2 2369 1444 329
very_high 2 2380 329 649
low 2 7 649 6130
low 2 11 8602 706
ultra_rare 2 1 706 40680
